Bike ID,Gender,Birth Year,Age,User Type,Trip Duration,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Start Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Stop Time
44973,Female,1989,32,Subscriber,3864,3193,Lincoln Park,40.7246050998869,-74.07840594649316,2020-11-01 06:33:19.7980,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2020-11-01 07:37:44.6430
44380,Unknown,1969,52,Customer,688,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,2020-11-01 06:34:15.3520,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2020-11-01 06:45:44.0240
44370,Female,1984,37,Subscriber,207,3211,Newark Ave,40.72152515,-74.046304543,2020-11-01 06:56:45.7550,3203,Hamilton Park,40.727595965999996,-74.044247311,2020-11-01 07:00:13.2180
28012,Male,1986,35,Subscriber,560,3273,Manila & 1st,40.72165072487999,-74.04288411140442,2020-11-01 07:38:25.3240,3268,Lafayette Park,40.71346382669195,-74.06285852193831,2020-11-01 07:47:45.4090
42436,Female,1989,32,Subscriber,1698,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2020-11-01 07:38:49.6380,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2020-11-01 08:07:08.3020
45919,Male,1985,36,Subscriber,414,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2020-11-01 07:40:07.6700,3681,Grand St,40.71517767732029,-74.03768330812454,2020-11-01 07:47:01.9510
42303,Female,1987,34,Subscriber,621,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2020-11-01 07:44:30.3980,3275,Columbus Drive,40.71835519823214,-74.03891444206238,2020-11-01 07:54:52.3490
41696,Male,1988,33,Subscriber,297,3195,Sip Ave,40.73089709786179,-74.06391263008119,2020-11-01 07:45:37.3810,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2020-11-01 07:50:34.8130
46536,Male,1959,62,Subscriber,2159,3220,5 Corners Library,40.73496102000952,-74.05950307846071,2020-11-01 07:57:17.5160,3195,Sip Ave,40.73089709786179,-74.06391263008119,2020-11-01 08:33:16.6450
44225,Male,1980,41,Subscriber,384,3209,Brunswick St,40.7241765,-74.05065640000001,2020-11-01 08:03:51.6680,3275,Columbus Drive,40.71835519823214,-74.03891444206238,2020-11-01 08:10:15.9580
26719,Female,1993,28,Subscriber,1438,3185,City Hall,40.717732500000004,-74.04384499999999,2020-11-01 08:09:15.9590,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2020-11-01 08:33:14.6300
47054,Unknown,1969,52,Customer,963,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 08:09:46.7620,3193,Lincoln Park,40.7246050998869,-74.07840594649316,2020-11-01 08:25:50.3350
42436,Female,1989,32,Subscriber,4392,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2020-11-01 08:09:58.5090,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2020-11-01 09:23:10.5410
42574,Unknown,1969,52,Customer,2800,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 08:16:52.8870,3184,Paulus Hook,40.7141454,-74.0335519,2020-11-01 09:03:33.5480
42788,Male,1974,47,Subscriber,192,3203,Hamilton Park,40.727595965999996,-74.044247311,2020-11-01 08:16:54.6960,3211,Newark Ave,40.72152515,-74.046304543,2020-11-01 08:20:06.8510
19976,Male,1957,64,Subscriber,269,3187,Warren St,40.721123600000006,-74.03805095,2020-11-01 08:21:43.1540,3681,Grand St,40.71517767732029,-74.03768330812454,2020-11-01 08:26:13.0520
42597,Female,1971,50,Subscriber,2622,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 08:30:20.7410,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 09:14:03.4530
42368,Male,1973,48,Subscriber,762,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,2020-11-01 08:37:09.0880,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2020-11-01 08:49:52.0680
39160,Female,1967,54,Subscriber,111,3213,Van Vorst Park,40.71848892,-74.047726625,2020-11-01 08:41:56.8400,3185,City Hall,40.717732500000004,-74.04384499999999,2020-11-01 08:43:47.9340
42363,Male,1966,55,Subscriber,1070,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,2020-11-01 08:46:28.1780,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,2020-11-01 09:04:18.6760
44239,Female,1964,57,Subscriber,336,3213,Van Vorst Park,40.71848892,-74.047726625,2020-11-01 08:47:24.1450,3187,Warren St,40.721123600000006,-74.03805095,2020-11-01 08:53:00.3190
29376,Male,1974,47,Subscriber,840,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-11-01 08:48:07.3150,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-11-01 09:02:08.2860
44913,Female,1991,30,Subscriber,511,3202,Newport PATH,40.7272235,-74.03375890000001,2020-11-01 08:48:20.3230,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,2020-11-01 08:56:51.4640
46536,Female,1994,27,Subscriber,276,3195,Sip Ave,40.73089709786179,-74.06391263008119,2020-11-01 08:54:02.9340,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,2020-11-01 08:58:39.1220
44370,Male,1983,38,Subscriber,117,3203,Hamilton Park,40.727595965999996,-74.044247311,2020-11-01 09:01:40.3310,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,2020-11-01 09:03:37.9380
44343,Female,1988,33,Customer,3846,3184,Paulus Hook,40.7141454,-74.0335519,2020-11-01 09:03:44.9040,3184,Paulus Hook,40.7141454,-74.0335519,2020-11-01 10:07:51.0090
47257,Male,1976,45,Customer,3831,3184,Paulus Hook,40.7141454,-74.0335519,2020-11-01 09:04:00.3150,3184,Paulus Hook,40.7141454,-74.0335519,2020-11-01 10:07:51.5360
35285,Male,1981,40,Subscriber,516,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2020-11-01 09:06:18.5620,3203,Hamilton Park,40.727595965999996,-74.044247311,2020-11-01 09:14:55.4360
44380,Female,1979,42,Subscriber,273,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2020-11-01 09:06:21.2330,3187,Warren St,40.721123600000006,-74.03805095,2020-11-01 09:10:54.5600
33808,Male,1985,36,Customer,649,3220,5 Corners Library,40.73496102000952,-74.05950307846071,2020-11-01 09:08:18.9820,3279,Dixon Mills,40.72163014263835,-74.04996782541275,2020-11-01 09:19:08.5370
45216,Male,1959,62,Subscriber,1407,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-11-01 09:08:30.5450,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2020-11-01 09:31:58.5280
27403,Male,1989,32,Subscriber,388,3185,City Hall,40.717732500000004,-74.04384499999999,2020-11-01 09:10:51.1780,3681,Grand St,40.71517767732029,-74.03768330812454,2020-11-01 09:17:19.3430
44003,Unknown,1969,52,Customer,224,3185,City Hall,40.717732500000004,-74.04384499999999,2020-11-01 09:12:00.3050,3681,Grand St,40.71517767732029,-74.03768330812454,2020-11-01 09:15:45.0070
41696,Male,1977,44,Subscriber,496,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2020-11-01 09:13:09.8680,3185,City Hall,40.717732500000004,-74.04384499999999,2020-11-01 09:21:26.1680
42591,Male,1981,40,Customer,1867,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-11-01 09:16:57.1480,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-11-01 09:48:04.5200
45231,Male,1996,25,Subscriber,169,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,2020-11-01 09:17:40.1790,3273,Manila & 1st,40.72165072487999,-74.04288411140442,2020-11-01 09:20:29.8360
44492,Unknown,1969,52,Customer,424,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 09:22:18.5630,3211,Newark Ave,40.72152515,-74.046304543,2020-11-01 09:29:23.5340
39160,Male,1987,34,Subscriber,193,3185,City Hall,40.717732500000004,-74.04384499999999,2020-11-01 09:22:56.2310,3483,Montgomery St,40.71942,-74.05099,2020-11-01 09:26:09.5420
41002,Unknown,1997,24,Subscriber,649,3210,Pershing Field,40.742677141,-74.051788633,2020-11-01 09:23:32.0760,3211,Newark Ave,40.72152515,-74.046304543,2020-11-01 09:34:21.7100
42623,Male,1980,41,Subscriber,146,3211,Newark Ave,40.72152515,-74.046304543,2020-11-01 09:26:31.9440,3209,Brunswick St,40.7241765,-74.05065640000001,2020-11-01 09:28:58.5010
42526,Unknown,1969,52,Customer,1300,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2020-11-01 09:26:47.0250,3195,Sip Ave,40.73089709786179,-74.06391263008119,2020-11-01 09:48:27.4290
42552,Male,1985,36,Subscriber,506,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-11-01 09:28:40.8200,3273,Manila & 1st,40.72165072487999,-74.04288411140442,2020-11-01 09:37:07.2190
42352,Female,1986,35,Subscriber,733,3211,Newark Ave,40.72152515,-74.046304543,2020-11-01 09:30:56.2570,3268,Lafayette Park,40.71346382669195,-74.06285852193831,2020-11-01 09:43:09.4230
42316,Female,1993,28,Subscriber,266,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,2020-11-01 09:31:32.3880,3280,Astor Place,40.71928220070703,-74.07126188278198,2020-11-01 09:35:59.0070
45216,Male,1959,62,Subscriber,2676,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2020-11-01 09:32:34.2640,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-11-01 10:17:10.6030
42580,Unknown,1969,52,Customer,1760,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 09:36:16.0230,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 10:05:36.0460
42314,Unknown,1969,52,Customer,1768,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 09:36:16.1480,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 10:05:44.8230
35097,Male,1995,26,Subscriber,1475,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-11-01 09:37:09.5190,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-11-01 10:01:44.6910
40124,Female,1982,39,Subscriber,362,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-11-01 09:38:30.2760,3681,Grand St,40.71517767732029,-74.03768330812454,2020-11-01 09:44:32.7740
40207,Unknown,1969,52,Customer,721,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2020-11-01 09:41:11.1860,3638,Washington St,40.7242941,-74.0354826,2020-11-01 09:53:12.7450
42249,Male,1989,32,Subscriber,1253,3268,Lafayette Park,40.71346382669195,-74.06285852193831,2020-11-01 09:42:49.0030,3279,Dixon Mills,40.72163014263835,-74.04996782541275,2020-11-01 10:03:42.1530
42194,Female,1992,29,Subscriber,749,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 09:44:41.4070,3279,Dixon Mills,40.72163014263835,-74.04996782541275,2020-11-01 09:57:10.7600
44392,Female,1982,39,Subscriber,334,3681,Grand St,40.71517767732029,-74.03768330812454,2020-11-01 09:46:46.4870,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2020-11-01 09:52:20.5600
21314,Male,1988,33,Subscriber,201,3273,Manila & 1st,40.72165072487999,-74.04288411140442,2020-11-01 09:50:57.3190,3203,Hamilton Park,40.727595965999996,-74.044247311,2020-11-01 09:54:18.4400
44767,Unknown,1969,52,Customer,173,3275,Columbus Drive,40.71835519823214,-74.03891444206238,2020-11-01 09:51:21.0510,3681,Grand St,40.71517767732029,-74.03768330812454,2020-11-01 09:54:14.2170
46465,Male,1960,61,Subscriber,350,3280,Astor Place,40.71928220070703,-74.07126188278198,2020-11-01 09:52:29.9620,3193,Lincoln Park,40.7246050998869,-74.07840594649316,2020-11-01 09:58:20.9100
44392,Female,1982,39,Subscriber,2137,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2020-11-01 09:53:40.3540,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2020-11-01 10:29:18.1900
43066,Male,1979,42,Subscriber,1258,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2020-11-01 09:53:57.2450,3203,Hamilton Park,40.727595965999996,-74.044247311,2020-11-01 10:14:56.2190
44556,Male,1984,37,Subscriber,402,3280,Astor Place,40.71928220070703,-74.07126188278198,2020-11-01 09:57:24.7270,3195,Sip Ave,40.73089709786179,-74.06391263008119,2020-11-01 10:04:06.9260
42526,Unknown,1969,52,Customer,1108,3195,Sip Ave,40.73089709786179,-74.06391263008119,2020-11-01 09:58:32.6480,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2020-11-01 10:17:01.1650
44336,Male,1984,37,Subscriber,1014,3638,Washington St,40.7242941,-74.0354826,2020-11-01 09:58:51.4770,3483,Montgomery St,40.71942,-74.05099,2020-11-01 10:15:45.9080
