Bike ID,Gender,Birth Year,Age,Trip Duration,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Start Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Stop Time
34038,Male,1981,40,326,3187,Warren St,40.721123600000006,-74.03805095,2020-12-01 06:25:33.7760,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2020-12-01 06:31:00.7030
17450,Male,1999,22,366,3679,Bergen Ave,40.72210378668603,-74.07145500183104,2020-12-01 06:30:48.5860,3195,Sip Ave,40.73089709786179,-74.06391263008119,2020-12-01 06:36:55.4750
14598,Male,1985,36,168,3681,Grand St,40.71517767732029,-74.03768330812454,2020-12-01 06:32:33.3800,3275,Columbus Drive,40.71835519823214,-74.03891444206238,2020-12-01 06:35:21.4640
45683,Male,1990,31,291,3187,Warren St,40.721123600000006,-74.03805095,2020-12-01 06:33:44.8770,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2020-12-01 06:38:36.4250
27622,Unknown,1969,52,313,3194,McGinley Square,40.7253399253558,-74.06762212514876,2020-12-01 06:33:46.3320,3195,Sip Ave,40.73089709786179,-74.06391263008119,2020-12-01 06:38:59.4940
42147,Male,1985,36,1756,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,2020-12-01 06:35:21.3320,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,2020-12-01 07:04:37.9820
27808,Male,2000,21,206,3203,Hamilton Park,40.727595965999996,-74.044247311,2020-12-01 06:36:29.1990,3211,Newark Ave,40.72152515,-74.046304543,2020-12-01 06:39:56.1020
31092,Male,1967,54,257,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-12-01 06:43:58.7800,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2020-12-01 06:48:15.8940
29718,Male,1989,32,474,3268,Lafayette Park,40.71346382669195,-74.06285852193831,2020-12-01 06:57:11.2750,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2020-12-01 07:05:06.1340
44388,Male,1982,39,194,3212,Christ Hospital,40.734785818,-74.050443636,2020-12-01 06:57:28.5350,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,2020-12-01 07:00:43.3000
38978,Male,1991,30,343,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,2020-12-01 06:58:27.6150,3187,Warren St,40.721123600000006,-74.03805095,2020-12-01 07:04:11.4940
42423,Male,1980,41,288,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,2020-12-01 06:59:25.5880,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2020-12-01 07:04:14.3020
42117,Male,1989,32,364,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2020-12-01 07:07:00.6460,3638,Washington St,40.7242941,-74.0354826,2020-12-01 07:13:04.9770
42788,Female,1984,37,266,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,2020-12-01 07:09:53.0160,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2020-12-01 07:14:19.1170
46541,Male,1990,31,400,3268,Lafayette Park,40.71346382669195,-74.06285852193831,2020-12-01 07:12:57.3160,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2020-12-01 07:19:37.8570
48916,Female,1996,25,960,3267,Morris Canal,40.7124188237569,-74.03852552175522,2020-12-01 07:16:41.6650,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,2020-12-01 07:32:41.9520
29376,Male,1979,42,427,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,2020-12-01 07:18:40.5160,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2020-12-01 07:25:47.7380
44911,Female,1987,34,460,3209,Brunswick St,40.7241765,-74.05065640000001,2020-12-01 07:19:14.7970,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2020-12-01 07:26:54.8980
39160,Male,1986,35,233,3213,Van Vorst Park,40.71848892,-74.047726625,2020-12-01 07:20:28.0930,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2020-12-01 07:24:22.0500
42601,Male,1967,54,193,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2020-12-01 07:20:45.1840,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2020-12-01 07:23:58.5340
45341,Female,1970,51,308,3203,Hamilton Park,40.727595965999996,-74.044247311,2020-12-01 07:20:54.4790,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2020-12-01 07:26:02.9480
